,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
82,2010 Northeastern Brazil floods,https://en.wikipedia.org/wiki/2010_Northeastern_Brazil_floods,The 2010 Northeastern Brazil floods occurred in the second half of June 2010.,"The flooding mainly hit Alagoas and Pernambuco, Brazil.","At least 1,000 people were missing, including 500 in Uniao dos Palmares, and at least 120,000 had to leave their homes.",At least 51 people were confirmed dead.,"At least 120,000 people had to leave their homes.",NULL,The economic loss or damage is unknown.,"Over 40,000 houses in Alagoas were flooded, affecting 22 towns, and entire towns were destroyed."
83,Cyclone Pam,https://en.wikipedia.org/wiki/Cyclone_Pam,Cyclone Pam occurred from 6 March 2015 to 20 March 2015.,"Cyclone Pam affected Fiji, Kiribati, Solomon Islands, Tuvalu, Vanuatu, New Caledonia, and New Zealand.","At least 132,000 people were impacted by Tropical Cyclone Pam, of whom 54,000 were children.","The death toll from Cyclone Pam is uncertain, with totals from the Vanuatu Government and United Nations differing. According to the United Nations, a total of 16 people were killed.","An estimated 45 percent of the nation's nearly 10,000 people in Tuvalu were displaced. In Vanuatu, an estimated 3,300 people were displaced as a result of Pam.",The exact number of people injured is not explicitly mentioned in the provided text.,Total damage in Vanuatu reached VT63.2 billion (US$600 million). Damage across Tuvalu amounted to US$92 million.,An estimated 90 percent of the nation's buildings in Vanuatu were impacted by the storm's effects.
84,Kincade Fire,https://en.wikipedia.org/wiki/Kincade_Fire,"The Kincade Fire occurred from October 23, 2019 to November 6, 2019.","The fire threatened over 90,000 structures and caused widespread evacuations throughout Sonoma County, including the communities of Geyserville, Healdsburg, Windsor, and Santa Rosa. The majority of Sonoma County and parts of Lake County were under evacuation warnings and orders.",NULL,NULL,NULL,Four non-fatal injuries were reported.,PG&E estimated a minimum loss of $600 million before available insurance.,"The fire destroyed or damaged over 120 buildings, including the destruction of the Soda Rock Winery in Healdsburg and heavy damage to the Field Stone Vineyard."
85,Tropical Storm Talas (2017),https://en.wikipedia.org/wiki/Tropical_Storm_Talas_(2017),"Tropical Storm Talas occurred from July 14, 2017 to July 17, 2017.","The areas affected by Tropical Storm Talas (2017) include Vietnam, South China, Laos, Thailand, and Myanmar.","Around 14 people were killed, and approximately 2,700 houses were damaged by Tropical Storm Talas (2017).",A total of 14 deaths were confirmed to be caused by Tropical Storm Talas (2017).,"Around 2,700 homes were damaged in Vietnam due to the storm, leaving many people homeless or displaced.",Seven people were injured in the Quang Binh Province due to the storm.,"The total economic damage in Vietnam was estimated at 2.52 trillion₫ (US$109 million), and the total damage in China reached CNY 60 million (US$8.8 million).","Approximately 2,700 houses were damaged in Vietnam due to Tropical Storm Talas (2017)."
86,2021 heat waves,https://en.wikipedia.org/wiki/2021_heat_waves,An extreme heat wave affected much of Western North America from late June through mid-July 2021. Another heat wave impacted North America in August 2021.,"The heat wave affected Northern California, Idaho, Western Nevada, Oregon, and Washington in the United States, as well as British Columbia, and, in its latter phase, Alberta, Manitoba, the Northwest Territories, Saskatchewan, and Yukon, all in Canada.",NULL,"The exact death toll is unknown, and growing. Confirmed deaths in the United States include at least 116 in Oregon, at least 112 in Washington, and one death in Idaho. In Canada, preliminary statistics indicated 610 more sudden deaths than usual occurred in British Columbia and 66 excess deaths in Alberta during the heat wave.",NULL,NULL,NULL,NULL
87,July–August 2022 United States floods,https://en.wikipedia.org/wiki/2022_Dallas_floods,"The floods occurred from July 24 to August 27, 2022.","The areas affected by the floods included Greater St. Louis, Central Appalachia, Southern and Southwestern United States, including parts of Missouri, Illinois, Eastern Kentucky, Southwest Virginia, West Virginia, Las Vegas Valley, Arizona, California, Dallas–Fort Worth metroplex, central Mississippi, Zion National Park in Utah, and more.","Over one hundred people were rescued from floods, and more than 420 people were rescued by helicopter or boat in Kentucky alone.","A total of 44 deaths were confirmed, with 38 in Kentucky, 2 in Missouri, 1 in Texas, and 1 in Utah.","Several shelters were opened for displaced residents, and about 150 residents were housed at nearby state parks.",At least four people were injured in the Dallas-Fort Worth metroplex flooding event.,The property damage was estimated at $1.2 billion in Kentucky and Missouri alone.,"Numerous homes, businesses, schools, and infrastructure were heavily damaged or destroyed in various areas, including downtown areas of Hindman and Fleming-Neon, Kentucky."
88,Typhoon Kyle (1993),https://en.wikipedia.org/wiki/Typhoon_Kyle_(1993),"Typhoon Kyle (1993) occurred from November 18, 1993 to November 23, 1993.","The areas affected by Typhoon Kyle (1993) include Caroline Islands, Palau, Yap, Philippines, Vietnam, Cambodia, and Thailand.","Over 106 deaths were confirmed, with 59 people reported missing. Additionally, 476 injuries were reported in Vietnam due to the typhoon.",A total of 110 deaths were confirmed to be caused by Typhoon Kyle (1993).,"5,601 houses were destroyed and over 11,217 more were submerged in Vietnam due to the typhoon.",A total of 476 injuries were reported in Vietnam due to Typhoon Kyle (1993).,The total damages from Typhoon Kyle (1993) were estimated at over $1.5 million (1993 USD).,"Over 5,601 houses were destroyed and over 11,217 more were submerged in Vietnam due to the typhoon."
89,Typhoon Morakot,https://en.wikipedia.org/wiki/Typhoon_Morakot,"Typhoon Morakot occurred from August 2, 2009 to August 11, 2009.","Typhoon Morakot affected Philippines, Japan, Taiwan, China, and Korea.",Over 11 million people were affected by Typhoon Morakot throughout eastern China.,"Typhoon Morakot resulted in 677 deaths, 4 severely injured, and 22 missing persons, as well as an additional 25 bodies that were not identified: a total of 728 persons (cases).","Over 13,000 people were left homeless in the Zambales region.",NULL,The economic loss or damage due to Typhoon Morakot was estimated to be $6.2 billion (2009 USD).,"At least 10,000 homes were damaged or destroyed by the storm."
90,Cyclone Quimburga,https://en.wikipedia.org/wiki/Cyclone_Quimburga,"Cyclone Quimburga occurred between 12 and 14 November, 1972.","The areas affected by Cyclone Quimburga include Newfoundland, British Isles, France, Germany, Netherlands, Belgium, Italy, Switzerland, Austria, Denmark, and Poland.",NULL,Cyclone Quimburga resulted in 54 confirmed deaths.,NULL,NULL,NULL,The storm destroyed the Königs Wusterhausen Central Tower and the church steeple in Berlin-Friedrichshagen.
91,Hurricane Irma,https://en.wikipedia.org/wiki/Hurricane_Irma,"Hurricane Irma occurred from August 30, 2017 to September 13, 2017.","Hurricane Irma affected Cape Verde, Leeward Islands (especially Barbuda, Saint Barthelemy, Anguilla, Saint Martin and the Virgin Islands), Greater Antilles (Cuba and Puerto Rico), Turks and Caicos Islands, Jamaica, The Bahamas, Eastern United States (especially Florida).",At least 134 deaths were confirmed caused by Hurricane Irma.,At least 134 deaths were confirmed caused by Hurricane Irma.,The hurricane caused extensive damage and left thousands of residents displaced in various areas.,At least 134 deaths were confirmed caused by Hurricane Irma.,The economic loss or damage due to Hurricane Irma was estimated at $77.2 billion (2017 USD).,"The hurricane damaged or destroyed 95% of the structures on Barbuda, including its hospital, schools, and both of its hotels."
92,Hurricane Ginny,https://en.wikipedia.org/wiki/Hurricane_Ginny,"Hurricane Ginny occurred from October 16, 1963 to October 29, 1963.","Hurricane Ginny affected the Hispaniola, Lucayan Archipelago, East Coast of the United States, and Atlantic Canada.","The text mentions that 3 fatalities were related to Hurricane Ginny, and it also states that thousands were left without power and several buildings were damaged in New England.",Three deaths were confirmed to be related to Hurricane Ginny.,The text does not explicitly mention the number of people who became homeless or displaced due to Hurricane Ginny.,"The text mentions that several injuries were reported due to Hurricane Ginny, but it does not specify the exact number.","The economic damage caused by Hurricane Ginny was estimated to be $500,000 in 1963 USD.","The text mentions that several buildings were damaged in New England, and it also states that several small buildings in Maine were destroyed."
93,Cyclone Niran,https://en.wikipedia.org/wiki/Cyclone_Niran,Cyclone Niran occurred from 27 February 2021 to 8 March 2021.,"Cyclone Niran affected Queensland, New Caledonia, and Vanuatu.","70,000 people lost power in New Caledonia, and 39,000 households lost electricity in urban areas.",NULL,400 people were housed in three evacuation centers in New Caledonia.,"Two people in New Caledonia were injured, including a child who was hit by shards of glass from a bay window.",The total economic losses reached $200 million (2021 USD).,Many houses had their roofs and infrastructure damaged in New Caledonia.
94,2022 South Korea floods,https://en.wikipedia.org/wiki/2022_South_Korean_floods,"On 8 August 2022, large scale floods hit the capital of South Korea, Seoul, especially Gangnam District and surrounding areas. It was preceded by the highest rainfall in 80 years.","large scale floods hit the capital of South Korea, Seoul, especially Gangnam District and surrounding areas. 50 cities and towns were issued with landslide warnings.",163 people in Seoul were made homeless.,at least 9 people were killed.,163 people in Seoul were made homeless.,NULL,NULL,"2,800 buildings were damaged."
95,Typhoon Gene,https://en.wikipedia.org/wiki/Typhoon_Gene,"Typhoon Gene occurred from September 22, 1990 to October 1, 1990.","The areas affected by Typhoon Gene include Japan, specifically Miyazaki Prefecture, Kagoshima Prefecture, Okinawa Prefecture, Shikoku Island, Kochi Prefecture, Kyushu Island, Wakayama Prefecture, Okayama Airport, Kanagawa Prefecture, Oshima Subprefecture, Tokyo, Shizuoka Prefecture, Mie Prefecture, Chiba Prefecture, Yamanashi Prefecture, Saitama Prefecture, and Gunma Prefecture.","More than 200,000 people were affected by the cancellation of flights and train services.",Six fatalities were reported nationwide due to Typhoon Gene.,"A total of 210 houses were destroyed, leading to 18,449 people becoming homeless in Miyazaki Prefecture. Additionally, 13,318 houses were flooded, and 194 people lost their homes in Kagoshima Prefecture.",Twenty others sustained injuries nationwide due to Typhoon Gene.,The economic damage totaled $158 million USD in 1990 values.,"A total of 210 houses were destroyed, 13,318 houses were flooded, and 229 houses were damaged in Kagoshima Prefecture."
96,Sandalwood Fire,https://en.wikipedia.org/wiki/Sandalwood_Fire,"The Sandalwood Fire occurred from October 10, 2019 to October 14, 2019.","The fire burned in the city of Calimesa in Riverside County, California, specifically impacting the Villa Calimesa mobile home park and threatening the nearby railway, power grid, and a second mobile home park in the area.","74 structures were destroyed and 16 were damaged by the fire, causing many people to be affected.",Two people died as a result of the Sandalwood Fire.,"Many people were displaced due to the destruction of the Villa Calimesa mobile home park, but the exact number is not provided.",Three non-fatal injuries were reported in relation to the Sandalwood Fire.,The economic loss or damage in USD (or other currencies) due to the Sandalwood Fire is not explicitly mentioned in the provided text.,74 structures were destroyed and 16 were damaged by the Sandalwood Fire.
97,Hurricane Fiona,https://en.wikipedia.org/wiki/Hurricane_Fiona,"Hurricane Fiona occurred from September 14, 2022, to September 27, 2022.","Hurricane Fiona affected the Leeward Islands, Puerto Rico, Dominican Republic, Lucayan Archipelago, Bermuda, Atlantic Canada, Saint Pierre and Miquelon, and Greenland.","At least 29 deaths have been confirmed throughout the Caribbean and Canada from Hurricane Fiona as of September 30. Over one million people were left without running water and another 350,000 in the Dominican Republic were left without electricity after Fiona had passed. At least 670 people were rescued from impacted sites following Fiona's deluge.",At least 29 deaths have been confirmed throughout the Caribbean and Canada from Hurricane Fiona as of September 30.,"Fiona left more than 500,000 customers without power, including 80% of all Nova Scotia customers and 95% of Prince Edward Island customers. At least 100 homes were damaged or destroyed in Newfoundland, primarily in Channel-Port aux Basques, with more than 200 people displaced.",NULL,"Insured losses from Fiona in Canada are estimated to be at least CA$800 million (US$590 million), with the total damage expected to be significantly higher. Preliminary assessments indicated the grid suffered more than US$2 billion in damage in Puerto Rico. The economic loss or damage in USD (or other currencies) due to Hurricane Fiona in total is estimated to be at least $3.09 billion (2022 USD).","At least 100 homes were damaged or destroyed in Newfoundland, primarily in Channel-Port aux Basques, with more than 200 people displaced."
98,Hurricane Ike,https://en.wikipedia.org/wiki/Hurricane_Ike,"Hurricane Ike occurred from September 1, 2008 to September 15, 2008.","Hurricane Ike affected the Lucayan Archipelago, Hispaniola, Cuba, Cayman Islands, Texas, South Central United States, Great Lakes region, and Canada.","At least 2.6 million Cubans, a fourth of the population, were evacuated ahead of Ike.",At least 214 deaths were confirmed caused by Hurricane Ike.,750 people in the Turks and Caicos Islands lost their homes.,NULL,The total damage from Hurricane Ike was estimated at $38 billion (2008 USD).,"Over 300,000 houses were damaged in Cuba, with an estimated 43,000 being a total loss."
99,Cyclone Trina,https://en.wikipedia.org/wiki/Cyclone_Trina,"Cyclone Trina occurred from November 29, 2001 to December 3, 2001.",The areas affected by Cyclone Trina were Rarotonga and Mangaia.,NULL,None reported,NULL,NULL,"The economic loss or damage was $52,000 (2001 USD).",NULL
100,1933 Trinidad hurricane,https://en.wikipedia.org/wiki/1933_Trinidad_hurricane,"The 1933 Trinidad hurricane occurred from June 24, 1933 to July 8, 1933.","The areas affected by the 1933 Trinidad hurricane include Leeward Islands (Trinidad landfall), Venezuela, Cuba, Mexico.",At least 35 people were affected by the 1933 Trinidad hurricane.,At least 35 deaths were confirmed caused by the 1933 Trinidad hurricane in total.,"About 1,000 people were left homeless in Trinidad due to the hurricane.",At least one man was seriously injured due to the hurricane.,The economic damage caused by the 1933 Trinidad hurricane was estimated at $7.2 million (1933 USD).,"The hurricane destroyed about 300 houses in Trinidad, and about 100 houses in Pinar del Rio Province, Cuba."
101,Cyclone Ockhi,https://en.wikipedia.org/wiki/Cyclone_Ockhi,"Cyclone Ockhi occurred from November 29, 2017 to December 6, 2017.","Cyclone Ockhi affected Southern India, Sri Lanka, Maldives, Lakshadweep, Tamil Nadu, Kerala, Maharashtra, Gujarat, and Goa.","At least 123,217 people of 35,354 families in 16 districts were affected by Cyclone Ockhi.",At least 318 deaths were confirmed to be caused by Cyclone Ockhi.,"5,650 individuals of 1,424 displaced families were provided shelter at 65 emergency welfare centers due to Cyclone Ockhi.",At least 77 people were injured due to Cyclone Ockhi.,The economic loss or damage was estimated to be $920 million (2017 USD).,"823 houses were reported completely destroyed, with a further 32,347 sustaining damage to varying degrees due to Cyclone Ockhi."
102,Hurricane Bob (1979),https://en.wikipedia.org/wiki/Hurricane_Bob_(1979),"Hurricane Bob (1979) occurred from July 9, 1979 to July 16, 1979.","The areas affected by Hurricane Bob (1979) include Louisiana, Mississippi, Tennessee, Kentucky, Indiana, and Ohio.",The text does not explicitly mention the total number of people affected by Hurricane Bob (1979).,One death was confirmed to be caused by Hurricane Bob (1979) in total.,The text does not provide specific information about the number of people who became homeless or displaced due to Hurricane Bob (1979).,The text does not explicitly mention the total number of people injured related to Hurricane Bob (1979).,The economic loss or damage in USD due to Hurricane Bob (1979) was approximately $20 million (1979 USD).,The text does not provide specific information about the number of buildings damaged or destroyed by Hurricane Bob (1979) in total.
103,Cyclone Idai,https://en.wikipedia.org/wiki/Cyclone_Idai,Cyclone Idai occurred from 4 March 2019 to 21 March 2019.,"Cyclone Idai affected northern and central Mozambique, Malawi, northern Madagascar, and Zimbabwe.",More than 3 million people experienced the direct effects of the cyclone.,"At least 1,593 deaths were confirmed to be caused by Cyclone Idai.","A total of 128,941 people were displaced to 143 evacuation centers nationwide.","At least 1,641 people were injured as a result of the cyclone.",The total damages from Cyclone Idai were estimated to be around $3.3 billion (2019 USD).,"As of 7 April, assessments indicate the destruction of 111,163 homes, damage to another 112,735 houses, and flooding to a further 15,784 structures."
104,February flood of 1825,https://en.wikipedia.org/wiki/February_flood_of_1825,The February flood of 1825 occurred from 3 to 5 February 1825.,"The North Sea coast of Jutland, Slesvig, Germany, North Frisia, East Frisia, and the Netherlands were affected by the February flood of 1825.",About 800 people were drowned due to the February flood of 1825.,"The number of casualties was about 200 in the East Frisian area, and the worst damage occurred in Groningen, Friesland, and Overijssel in the Netherlands.",The text does not provide specific information about the number of people who became homeless or displaced.,The text does not provide specific information about the number of people who were injured.,The text does not provide specific information about the economic loss or damage in USD or other currencies.,"Many dykes had already been damaged, the sand spit Agger Tange was broken through, and the island of Pellworm was completely flooded, indicating significant building damage."
105,2009 Turkish flash floods,https://en.wikipedia.org/wiki/2009_Turkish_flash_floods,The 2009 Turkish flash floods occurred on 9 September 2009.,"The areas affected by the 2009 Turkish flash floods were Istanbul, Tekirdag, and the rest of the Marmara Region of Turkey.","At least 31 people were killed, dozens were stranded in cars or on rooftops, and an unknown number remain missing.",At least 31 people were confirmed dead due to the 2009 Turkish flash floods.,NULL,At least 20 people were injured by the floods.,The cost of damage has been estimated as being in excess of $70 million.,"One building collapsed, two bridges were destroyed, and more than 200 cars were washed into the Marmara Sea."
106,Cyclone Gombe,https://en.wikipedia.org/wiki/Cyclone_Gombe,Cyclone Gombe occurred from 5 March 2022 to 17 March 2022.,"Cyclone Gombe affected Madagascar, Mozambique, and Malawi.","At least 736,015 people were directly affected by Cyclone Gombe.",A total of 72 deaths were confirmed caused by Cyclone Gombe.,"The cyclone left over 23,994 people displaced.",At least 108 people suffered injuries related to Cyclone Gombe.,The economic damage was $95 million (2022 USD).,"A total of 45,079 houses have been completely destroyed."
107,Hurricane Alice (December 1954),https://en.wikipedia.org/wiki/Hurricane_Alice_(December_1954),"Hurricane Alice occurred from December 30, 1954 to January 6, 1955.","The areas affected by Hurricane Alice included the Lesser Antilles, specifically Saint-Barthelemy, Saba, Anguilla, Sint Eustatius, and Saint Kitts.","626 houses were destroyed or severely damaged on Anguilla, and the economies of the small affected islands were greatly troubled.",No deaths were reported as a result of Hurricane Alice.,NULL,NULL,"The total damage amounting to $623,500 in 1955 USD (greater than $6,500,000 in 2022 USD).","Damage was heaviest on Saba and Anguilla, with shipping facilities, crops, and 626 houses being destroyed or severely damaged."
108,2022 India–Bangladesh floods,https://en.wikipedia.org/wiki/2022_India%E2%80%93Bangladesh_floods,The 2022 India–Bangladesh floods occurred from 23 May 2022 to present.,"The areas affected by the 2022 India–Bangladesh floods include India (Assam, Meghalaya, Arunachal Pradesh, Tripura) and Bangladesh (Sylhet, Mymensingh, Rangpur, Rajshahi divisions).",Around 9 million people in both countries have been affected by the 2022 India–Bangladesh floods.,"The total number of deaths caused by the 2022 India–Bangladesh floods is 318, with 177 in India and 141 in Bangladesh.","In total, around 4.7 million people were displaced due to the 2022 India–Bangladesh floods.",NULL,The economic loss or damage in USD (or other currencies) due to the 2022 India–Bangladesh floods is not explicitly mentioned in the provided text.,"Around 1,100 houses were completely destroyed and 7,000 houses were partially damaged by the 2022 India–Bangladesh floods."
109,1899 San Ciriaco hurricane,https://en.wikipedia.org/wiki/1899_San_Ciriaco_hurricane,"The 1899 San Ciríaco hurricane occurred from August 3, 1899, to September 12, 1899.","The areas affected by the 1899 San Ciriaco hurricane include Leeward Islands, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Bahamas, East Coast of the United States (Landfall in North Carolina), Atlantic Canada, and Azores.","Approximately 250,000 people were left without food and shelter in Puerto Rico alone.","The total number of deaths caused by the 1899 San Ciriaco hurricane was estimated to be 3,855.","The storm left nearly every building destroyed in Montserrat, with 100 deaths reported, and caused general destruction on Nevis, with at least 21 fatalities.","At least 1,400 injuries were reported in Montserrat due to the hurricane.",The total damage caused by the 1899 San Ciriaco hurricane was approximately $20 million (1899 USD) in Puerto Rico alone.,"Severe damage was reported in Nassau, Bahamas, with over 100 buildings destroyed and many damaged, including the Government House. In North Carolina, at least 20 deaths were reported, and Hatteras Island was almost entirely inundated with 4 to 10 feet of water, with many homes damaged."
110,Hurricane Cleo,https://en.wikipedia.org/wiki/Hurricane_Cleo,"Hurricane Cleo occurred from August 21, 1964 to September 5, 1964.","Hurricane Cleo affected the Lesser Antilles, Greater Antilles (particularly Haiti), and the Southeast United States.",156 people were explicitly affected by Hurricane Cleo.,156 deaths were confirmed caused by Hurricane Cleo in total.,"Extensive damage to the island's infrastructure in Guadeloupe, 1,000 homes destroyed, and Les Cayes, Haiti was leveled as the storm struck the town.","The outer bands of Cleo produced peak sustained winds of 52 mph (84 km/h) at Point Tuna, Puerto Rico, and six crew members of a reconnaissance aircraft were injured.",$187 million (1964 USD) in damages were caused by Hurricane Cleo in total.,"Major damage was seen as far north as east-central Florida, with broken glass, interior flooding, uprooted trees, overturned aircraft, power failures, and agriculture. Storyland, a popular children's theme park in Pompano Beach, was destroyed and never rebuilt."
111,Black Sunday (storm),https://en.wikipedia.org/wiki/Black_Sunday_(storm),"Black Sunday (storm) occurred on April 14, 1935.","The storm hit the Oklahoma panhandle and northwestern Oklahoma first, and moved south for the remainder of the day. It hit Beaver, Oklahoma around 4 p.m., Boise City around 5:15, and Amarillo, Texas at 7:20. The conditions were the most severe in the Oklahoma and Texas panhandles, but the storm's effects were also felt in other surrounding areas.",It is estimated to have displaced 300 thousand tons of topsoil from the prairie area.,NULL,NULL,NULL,It caused immense economic and agricultural damage.,NULL
112,Tropical Storm Norman (2006),https://en.wikipedia.org/wiki/Tropical_Storm_Norman_(2006),"Tropical Storm Norman occurred from October 9, 2006 to October 15, 2006.",The areas affected by Tropical Storm Norman were Southwestern Mexico and Western Mexico.,"About 500,000 people were affected by Tropical Storm Norman.",None reported.,"About 150 homes were flooded, resulting in 20 homes being destroyed and 20 villages left without power.",One person was injured due to the storm.,NULL,"About 150 homes were flooded, resulting in 20 homes being destroyed."
113,Hurricane Michael,https://en.wikipedia.org/wiki/Hurricane_Michael,"Hurricane Michael occurred from October 7, 2018, to October 16, 2018.","Hurricane Michael affected Central America, Yucatan Peninsula, Cayman Islands, Cuba, Southeastern United States (especially the Florida Panhandle and Georgia), Eastern United States, Eastern Canada, and the Iberian Peninsula.","At least 74 deaths were attributed to the storm, including 59 in the United States and 15 in Central America. More than 1,200 homes were destroyed in Florida, and over 2,000 structures sustained damage in Gulf County.","At least 74 deaths were attributed to the storm, including 59 in the United States and 15 in Central America.","An estimated 10 to 20 thousand people were displaced by the storm in Panama City, and over 1,200 homes were destroyed in Florida.",NULL,The estimated damage from Hurricane Michael throughout the United States reached $25 billion (2018 USD).,"Catastrophic and widespread damage occurred in Bay County, where 45,000 structures were damaged and 1,500 were destroyed throughout the county. Tyndall Air Force Base suffered significant structural damage, with every building damaged and many considered a complete loss."
114,2006–2007 Southeast Asian floods,https://en.wikipedia.org/wiki/2006%E2%80%932007_Southeast_Asian_floods,The 2006–2007 Southeast Asian floods occurred from 18 December 2006 to 13 January 2007.,"The areas affected by the 2006–2007 Southeast Asian floods include Malaysia (Johor, Malacca, Pahang and Negeri Sembilan), Singapore, and Indonesia (Aceh and North Sumatra).","An estimated 400,000 people were displaced at the peak of the flooding with at least 118 people dead and 155 people missing as of 29 December 2006.",The floods had claimed 15 lives as of 4 January 2007.,"An estimated 400,000 people were displaced at the peak of the flooding with at least 118 people dead and 155 people missing as of 29 December 2006.",NULL,The total cost of damage caused by the floods was $395 million.,"The second bout of flooding, which was larger than the first one, had almost paralyzed Johor after all 8 districts were submerged by the flood. The areas worst affected by the second flood were Batu Pahat and Kluang."
115,Cyclone Raja,https://en.wikipedia.org/wiki/Cyclone_Raja,Cyclone Raja occurred from 21 December 1986 to 5 January 1987.,"Cyclone Raja affected Fiji, Tonga, Tuvalu, and Wallis and Futuna.","The text mentions extensive damage to crops, coastal installations, and buildings in Tuvalu, and severe damage reported to well-built houses on the island of Futuna. It also caused severe damage in areas of Fiji, including parts of Vanua Levu, the Koro and the Lau group of islands.",Cyclone Raja was responsible for 2 confirmed deaths.,The text does not explicitly mention the number of people who became homeless or displaced due to Cyclone Raja.,"The text mentions that relief supplies, including food, medical supplies, and other materials, were immediately dispatched from French Polynesia and New Caledonia, and that a dismantled Puma aircraft was airlifted to Wallis from New Caledonia, evacuating seriously injured individuals.",The economic loss or damage caused by Cyclone Raja was $14 million (1987 USD).,"The text mentions severe damage to houses, coastal installations, and buildings in Tuvalu, and severe damage reported to well-built houses on the island of Futuna. It also reports severe damage to crops, communication facilities, buildings, roads, seawalls, wharves, jetties, and other coastal installations in low-lying areas of Fiji."
116,Hurricane Frank (2010),https://en.wikipedia.org/wiki/Hurricane_Frank_(2010),"Hurricane Frank (2010) occurred from August 21, 2010 to August 29, 2010.",Hurricane Frank (2010) affected Southwestern Mexico and Western Mexico.,"Over 800,000 people were affected by Hurricane Frank (2010).",A total of six deaths were confirmed caused by Hurricane Frank (2010).,"A total of 60,000 people became homeless due to Hurricane Frank (2010).",NULL,The economic damage caused by Hurricane Frank (2010) was $8.3 million.,A total of 30 homes were destroyed with 26 others damaged due to flooding.
117,Typhoon Nalgae (2011),https://en.wikipedia.org/wiki/Typhoon_Nalgae_(2011),"Typhoon Nalgae (2011) occurred from September 26, 2011, to October 5, 2011.","The areas affected by Typhoon Nalgae (2011) include the Philippines, China, Vietnam, and Thailand.","Thousands of people were affected by Typhoon Nalgae (2011) as rescue workers were deployed across Luzon, and many structures were damaged in various towns.",18 deaths were confirmed caused by Typhoon Nalgae (2011) in total.,"Thousands of families continued to stay in evacuation centers, and more than 43,000 houses were damaged by the typhoon, leaving many homeless or displaced.",The text does not provide specific information about the number of people injured.,The economic damage caused by Typhoon Nalgae (2011) was estimated at $250 million (2011 USD).,"Many structures, including billboards, tarpaulins, and wooden materials, were damaged by the typhoon, and the barriers of the Isabela highway were also destroyed."
118,Typhoon Billie (1959),https://en.wikipedia.org/wiki/Typhoon_Billie_(1959),"Typhoon Billie (1959) occurred from July 12, 1959 to July 18, 1959.","Typhoon Billie (1959) affected the Philippines, Taiwan, China, Japan, and South Korea.","The effects of Typhoon Billie (1959) explicitly affected about 100 people in the Philippines, 10,000 people in Taipei, and resulted in the indirect deaths of 68 people, including 51 children.",A total of 51 direct deaths and 68 indirect deaths were confirmed caused by Typhoon Billie (1959).,"Roughly 70,000 people were displaced due to Typhoon Billie (1959), with about 100 people displaced in the Philippines and 10,000 people rendered homeless in Taipei alone.",Around 125 people were injured and 40 were hospitalized after the mass evacuation caused by Typhoon Billie (1959).,"The economic loss or damage due to Typhoon Billie (1959) totaled $500,000 in 1959 USD.","In Japan, 603 homes were destroyed and 77,288 others were inundated by the floodwaters caused by Typhoon Billie (1959)."
119,Hurricane Edouard (1996),https://en.wikipedia.org/wiki/Hurricane_Edouard_(1996),"Hurricane Edouard (1996) occurred from August 19, 1996 to September 7, 1996.",The East Coast of the United States and Atlantic Canada were affected by Hurricane Edouard (1996).,"Two people were confirmed dead, and numerous others were injured due to Hurricane Edouard (1996).",Two people were confirmed dead due to Hurricane Edouard (1996).,The text does not provide specific information about the number of people who became homeless or displaced due to Hurricane Edouard (1996).,"Numerous injuries were reported due to Hurricane Edouard (1996), including two confirmed deaths.",The economic loss or damage due to Hurricane Edouard (1996) was reported to be $20 million (1996 USD).,"The text mentions shingle damage to buildings, a campground being flooded, and damage to a cruise ship, but does not provide a specific number of buildings damaged or destroyed by Hurricane Edouard (1996)."
120,Late December 2012 North American storm complex,https://en.wikipedia.org/wiki/Late_December_2012_North_American_storm_complex,"The Late December 2012 North American storm complex occurred from December 17, 2012 to December 31, 2012.","The areas affected by the Late December 2012 North American storm complex included the Southern and Eastern United States, Gulf Coast, Southern East Coast, much of the interior United States, Ohio Valley, Great Lakes region, Tennessee Valley, Ontario, New England, Canadian Maritimes, and Atlantic Ocean.","At least 16 people died as a result of the related blizzard, and thousands were without power. There were 63 preliminary local storm reports received for tornadoes, including 60 in four states on December 25 alone.",At least 16 people died as a result of the related blizzard.,"Many homes and other structures were damaged, and many people were affected by the EF2 tornado in Mobile and Prichard.",At least 24 people were injured.,The economic loss or damage was estimated to be over $150 million.,"Many homes, businesses, a hospital, a high school, and other structures were damaged or destroyed by the storm complex."
121,2019 Vietnam floods,https://en.wikipedia.org/wiki/2019_Vietnam_floods,Vietnam was hit by several floods in 2019.,"In Bac Quang, Ha Giang",NULL,one child was killed,five houses were destroyed,NULL,NULL,five houses were destroyed
